"series","time","x","initial_value","x_obs","n_total"
"1",1,188.599985467915,184.659666521475,211,600
"1",2,192.645680577185,184.659666521475,184,600
"1",3,196.794761083096,184.659666521475,211,600
"1",4,201.045324473597,184.659666521475,239,600
"1",5,205.394456453687,184.659666521475,195,600
"1",6,209.839087518592,184.659666521475,219,600
"1",7,214.375670525393,184.659666521475,210,600
"1",8,219.000198514962,184.659666521475,245,600
"1",9,223.708191952916,184.659666521475,211,600
"1",10,228.494761133191,184.659666521475,235,600
"1",11,233.354591668488,184.659666521475,243,600
"1",12,238.281960179275,184.659666521475,240,600
"1",13,243.270758327979,184.659666521475,227,600
"1",14,248.314518854388,184.659666521475,265,600
"1",15,253.406445850147,184.659666521475,290,600
"1",16,258.539448988397,184.659666521475,273,600
"1",17,263.706181342165,184.659666521475,310,600
"1",18,268.899079914947,184.659666521475,301,600
"1",19,274.110412396915,184.659666521475,252,600
"1",20,279.332320758759,184.659666521475,312,600
"1",21,284.556869096312,184.659666521475,322,600
"1",22,289.77609351206,184.659666521475,372,600
"1",23,294.982051248541,184.659666521475,289,600
"1",24,300.166869770504,184.659666521475,295,600
"1",25,305.322794993725,184.659666521475,340,600
"1",26,310.442238000353,184.659666521475,288,600
"1",27,315.517819648689,184.659666521475,342,600
"1",28,320.54241253157,184.659666521475,371,600
"1",29,325.50917979518,184.659666521475,259,600
"1",30,330.411610396907,184.659666521475,329,600
"1",31,335.243550454802,184.659666521475,342,600
"1",32,339.999230419907,184.659666521475,294,600
"1",33,344.673287883864,184.659666521475,407,600
"1",34,349.260785915126,184.659666521475,319,600
"1",35,353.757226916883,184.659666521475,345,600
"1",36,358.158562037196,184.659666521475,378,600
"1",37,362.461196068892,184.659666521475,410,600
"1",38,366.661988488454,184.659666521475,413,600
"1",39,370.758250481566,184.659666521475,424,600
"1",40,374.747738252418,184.659666521475,394,600
"1",41,378.62864303947,184.659666521475,357,600
"1",42,382.399578185793,184.659666521475,395,600
"1",43,386.059563582471,184.659666521475,383,600
"1",44,389.608007879163,184.659666521475,384,600
"1",45,393.044688804734,184.659666521475,412,600
"1",46,396.369731993641,184.659666521475,396,600
"1",47,399.583588656146,184.659666521475,357,600
"1",48,402.687012439991,184.659666521475,435,600
"1",49,405.681035789121,184.659666521475,435,600
"1",50,408.566946093969,184.659666521475,399,600
"1",51,411.346261896851,184.659666521475,422,600
"1",52,414.020709387216,184.659666521475,371,600
"1",53,416.592199392701,184.659666521475,415,600
"1",54,419.062805042896,184.659666521475,436,600
"1",55,421.434740254375,184.659666521475,394,600
"1",56,423.710339158317,184.659666521475,396,600
"1",57,425.892036566372,184.659666521475,405,600
"1",58,427.982349546454,184.659666521475,424,600
"1",59,429.983860158431,184.659666521475,466,600
"1",60,431.899199380562,184.659666521475,441,600
"1",61,433.731032237224,184.659666521475,403,600
"1",62,435.482044127481,184.659666521475,435,600
"1",63,437.154928338526,184.659666521475,442,600
"1",64,438.752374715467,184.659666521475,438,600
"1",65,440.277059452242,184.659666521475,433,600
"1",66,441.731635959922,184.659666521475,446,600
"1",67,443.118726762937,184.659666521475,420,600
"1",68,444.440916369497,184.659666521475,460,600
"1",69,445.700745059492,184.659666521475,452,600
"1",70,446.90070353135,184.659666521475,425,600
"1",71,448.043228348466,184.659666521475,430,600
"1",72,449.130698125885,184.659666521475,440,600
"1",73,450.165430398631,184.659666521475,516,600
"1",74,451.14967911443,184.659666521475,444,600
